Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),1_ZONE1:Zone Air Temperature [C](Hourly),0_ZONE1:Zone Air Temperature [C](Hourly),0_ZONE2:Zone Air Temperature [C](Hourly),VRF_1_ZONE1 VRF HEAT PUMP:VRF Heat Pump COP [](Hourly),VRF_1_ZONE1 VRF HEAT PUMP:VRF Heat Pump Part Load Ratio [](Hourly),VRF_0_ZONE1 VRF HEAT PUMP:VRF Heat Pump COP [](Hourly),VRF_0_ZONE1 VRF HEAT PUMP:VRF Heat Pump Part Load Ratio [](Hourly),VRF_0_ZONE2 VRF HEAT PUMP:VRF Heat Pump COP [](Hourly),VRF_0_ZONE2 VRF HEAT PUMP:VRF Heat Pump Part Load Ratio [](Hourly) 
 01/05  03:00:00,2.725,3.379258210679046,8.82322723086821,8.310787540377346,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  04:00:00,2.4250000000000004,2.951634258337007,8.66112119473908,8.128671436593758,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  05:00:00,2.183333333333333,2.5651448863879078,8.511684369674472,7.961201830560461,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  06:00:00,2.0416666666666667,2.249454370624805,8.391697601859902,7.827193834700462,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  07:00:00,1.9416666666666667,2.3612574079712824,8.395440277817065,7.795500113009806,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  08:00:00,1.9000000000000002,2.260099875960908,8.418875614426117,7.797250011832969,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  09:00:00,2.0749999999999999,2.465327975074807,8.654068989142996,8.136699752720327,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  10:00:00,2.783333333333333,3.123742478542907,9.278003300175856,8.926683110454697,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  11:00:00,3.9583333333333337,4.338577733268541,10.343341062749069,10.371617292861867,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  12:00:00,5.433333333333334,5.888250839069889,11.470806731655694,12.122364648884864,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  13:00:00,6.858333333333333,7.442000765559494,12.495528893940929,13.800844623627797,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  14:00:00,7.983333333333333,8.648158602207653,13.093581141971173,14.627648415990635,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  15:00:00,8.575000000000001,9.333074311016008,13.2301354326596,14.601465445713205,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  16:00:00,8.700000000000001,9.516214214357042,12.999898805427828,14.09109559605623,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  17:00:00,8.583333333333334,9.34597846325706,12.598319709453959,13.253461027111515,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  18:00:00,8.325000000000001,9.071621490052749,12.257573472959655,12.449253035953332,0.0,0.0,0.0,0.0,0.0,0.0 
